content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
c95,s1,0.021160;0.023009;0.021890;0.021907;0.021311;0.022901;0.022329;0.023308;0.019919;0.022499;0.021999;0.022206;0.021021;0.022874;0.021975;0.022156,----,0.202914;0.933475;0.601407;0.714162;0.295285;0.906112;0.983962;1.000000;0.009944;0.901524;0.804602;0.745305;0.000000;0.594071;0.371161;0.561674
c95,s10,0.017923;0.017312;0.017495;0.017489;0.017271;0.017219;0.017936;0.018055;0.018564;0.017081;0.017900;0.017281;0.017976;0.018093;0.017457;0.017904,----,0.239020;0.366990;0.805807;0.609026;0.000000;0.598784;0.861621;1.000000;0.893239;0.624901;0.662838;0.345801;0.458187;0.681639;0.067618;0.571617
c95,s11,0.018150;0.017725;0.018505;0.017611;0.017633;0.016758;0.017491;0.017805;0.016553;0.017123;0.018130;0.016933;0.018447;0.017508;0.017403;0.018025,----,0.531801;0.000000;0.838934;0.164264;0.668855;0.229241;0.083802;0.296494;0.237726;0.555565;0.847602;0.538024;0.682021;0.452038;0.429117;1.000000
c95,s12,0.015972;0.016677;0.016608;0.016116;0.015907;0.016231;0.016061;0.016545;0.016507;0.016636;0.015493;0.016512;0.016454;0.016544;0.015827;0.016457,----,0.000000;0.838406;0.976422;0.875622;0.292005;0.323841;0.566182;0.677523;0.860329;1.000000;0.417332;0.942011;0.721538;0.682394;0.394992;0.547531
c95,s13,0.014068;0.013598;0.013161;0.013657;0.013820;0.013396;0.013084;0.013487;0.013509;0.013986;0.013384;0.013407;0.013319;0.012559;0.012757;0.013303,----,0.265323;0.054812;0.500259;0.796908;0.615783;0.211813;0.450894;0.779950;0.934141;1.000000;0.546583;0.930056;0.557246;0.000000;0.088197;0.364043
c95,s14,0.020583;0.020480;0.020979;0.020216;0.020448;0.020777;0.021619;0.020044;0.020171;0.020929;0.020871;0.019950;0.020104;0.019108;0.019643;0.020361,----,0.608155;0.611431;0.648876;0.720398;0.366878;0.461975;1.000000;0.475327;0.551064;0.867291;0.604535;0.644068;0.352183;0.000000;0.293368;0.502909
c95,s15,0.019579;0.019475;0.019328;0.020040;0.019188;0.019772;0.019193;0.019739;0.019319;0.019052;0.019051;0.018878;0.020594;0.020676;0.019419;0.018948,----,0.000000;0.848957;0.045486;0.918680;0.240771;0.902194;0.268445;0.861584;0.482823;0.324358;0.526247;0.730809;0.926922;1.000000;0.336968;0.271044
c95,s16,0.026698;0.027097;0.026192;0.025535;0.025617;0.025023;0.026512;0.028986;0.025690;0.029521;0.027591;0.027151;0.026808;0.026689;0.026389;0.025560,----,0.000000;0.821695;0.126335;0.310662;0.032577;0.193284;0.548905;0.959713;0.251040;1.000000;0.716173;0.631580;0.518462;0.536789;0.429532;0.238888
c95,s17,0.010518;0.010449;0.010727;0.010496;0.009964;0.010509;0.010791;0.010388;0.011369;0.010832;0.011355;0.011061;0.010383;0.010371;0.010644;0.010825,----,0.494703;0.613952;0.772133;0.858317;0.000000;0.476256;0.606769;0.574538;1.000000;0.891196;0.960096;0.963886;0.517328;0.632949;0.542613;0.673416
c95,s18,0.021574;0.021938;0.020963;0.020756;0.021666;0.021048;0.020220;0.020481;0.019916;0.020443;0.019665;0.020763;0.020994;0.021157;0.019902;0.021147,----,0.705472;1.000000;0.791678;0.269267;0.000000;0.982736;0.641562;0.092206;0.226358;0.613361;0.054190;0.777547;0.309673;0.491084;0.011949;0.379299
