content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
c24,s1,0.006765;0.006494;0.006414;0.006665;0.006797;0.007109;0.006477;0.006602;0.007689;0.006722;0.006584;0.006904;0.006434;0.006709;0.006756;0.006890,----,0.000000;0.312819;0.231299;0.112358;0.422686;0.669904;0.367215;0.587808;1.000000;0.326508;0.215608;0.696898;0.385452;0.628382;0.658347;0.999275
c24,s10,0.004659;0.004053;0.004631;0.004782;0.004374;0.004087;0.004307;0.004603;0.005145;0.004235;0.004506;0.004310;0.004516;0.004446;0.004654;0.004447,----,0.420614;0.000000;0.483183;0.514389;0.607823;0.415753;0.596067;0.576596;1.000000;0.259019;0.485737;0.491922;0.545207;0.632630;0.633202;0.473060
c24,s11,0.002846;0.002957;0.002815;0.002917;0.003114;0.002990;0.003396;0.003374;0.003056;0.003243;0.003242;0.002855;0.003095;0.002935;0.002711;0.002747,----,0.127686;0.000000;0.360035;0.470116;0.359401;0.066008;0.984574;1.000000;0.653706;0.411331;0.833247;0.408594;0.803498;0.284614;0.765014;0.664196
c24,s12,0.008389;0.007904;0.008577;0.008613;0.007998;0.007888;0.008486;0.008098;0.008136;0.008119;0.008040;0.008296;0.008382;0.008098;0.008076;0.008445,----,0.430281;0.293421;0.472640;0.304978;0.453658;0.474096;0.526825;0.259599;0.539008;0.004535;0.000000;0.424211;0.844841;0.555859;0.679934;1.000000
c24,s13,0.008451;0.008483;0.008327;0.008597;0.008459;0.008311;0.008506;0.008448;0.008515;0.008531;0.008258;0.008359;0.008764;0.008994;0.008803;0.008439,----,0.081412;0.051172;0.016014;0.380697;0.629621;0.325966;0.567196;0.181189;0.426017;0.430308;0.313534;0.000000;0.891435;1.000000;0.772173;0.667881
c24,s14,0.005024;0.005143;0.005204;0.005325;0.005075;0.005768;0.004737;0.004963;0.005369;0.005043;0.004932;0.005018;0.004981;0.005820;0.005316;0.004991,----,0.135435;0.512742;0.511160;0.293819;0.418202;0.909823;0.000000;0.512531;0.607029;0.184271;0.248463;0.171385;0.495755;1.000000;0.848382;0.620059
c24,s15,0.005400;0.005332;0.005190;0.005196;0.005901;0.005247;0.005391;0.005472;0.005925;0.005515;0.005522;0.005511;0.005620;0.005726;0.005401;0.005314,----,0.352974;0.362303;0.179676;0.000000;0.931663;0.658208;0.778859;0.511719;0.812881;0.658824;0.751572;0.462812;0.865157;1.000000;0.743738;0.471333
c24,s16,0.004729;0.004732;0.004853;0.004762;0.004685;0.004635;0.004714;0.005071;0.004681;0.005203;0.004911;0.004691;0.004750;0.004730;0.004605;0.004633,----,0.331578;0.483145;0.458018;0.279459;0.741920;0.674551;0.847806;1.000000;0.869435;0.228606;0.000000;0.840541;0.873220;0.859976;0.757479;0.949801
c24,s17,0.004942;0.004594;0.004884;0.004838;0.005266;0.004944;0.005009;0.005101;0.005869;0.005593;0.005286;0.006091;0.004729;0.004626;0.004591;0.004877,----,0.097388;0.000000;0.375492;0.490307;0.535749;0.432013;0.466599;0.668132;0.856722;0.375713;0.412719;1.000000;0.686204;0.468575;0.680603;0.852269
c24,s18,0.006083;0.005407;0.005356;0.005601;0.005386;0.005447;0.006160;0.005490;0.005684;0.006456;0.006126;0.005854;0.006108;0.005353;0.007638;0.007358,----,0.115746;0.057998;0.000000;0.145480;0.037486;0.155048;0.408746;0.083226;0.158412;0.359809;0.279542;0.203679;0.500654;0.181174;1.000000;0.954785
