content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
c95,s13,0.013641;0.013556;0.013665;0.013371;0.013220;0.013506;0.013589;0.013533;0.013565;0.013603;0.013491;0.013336;0.013169;0.013668;0.013572;0.013562;0.013685;0.013498;0.013561;0.013255;0.013695;0.013410;0.013481;0.013507;0.013459;0.013467;0.013292;0.013568;0.013127;0.013304;0.013488;0.013400;0.013326;0.013580;0.013615;0.013495;0.013474;0.013190;0.013561;0.013349;0.013358;0.013498;0.013513;0.013542;0.013339;0.013506;0.013426;0.013337;0.013376;0.013496;0.012917;0.013229;0.013160;0.013293;0.013308;0.013470;0.013345;0.013435;0.013100;0.013376;0.012984;0.013360;0.013288;0.013432,----,0.602917;0.897882;0.849702;0.513784;0.597596;0.630982;1.000000;0.751345;0.402187;0.519058;0.590806;0.351967;0.760214;0.551114;0.758584;0.884705;0.283022;0.283834;0.923314;0.202418;0.992930;0.756725;0.478454;0.517584;0.848358;0.807033;0.703145;0.796546;0.457890;0.496000;0.686951;0.738843;0.790183;0.921026;0.926918;0.293039;0.291210;0.549399;0.874908;0.888477;0.691833;0.694863;0.764725;0.629995;0.563552;0.778797;0.640541;0.655124;0.620974;0.642712;0.000000;0.239387;0.297279;0.376547;0.336905;0.667374;0.613600;0.561639;0.247107;0.402552;0.082226;0.451062;0.296006;0.527298
c95,s14,0.020240;0.020523;0.020160;0.020251;0.020266;0.020402;0.020132;0.020319;0.020214;0.020032;0.020287;0.020215;0.020146;0.020587;0.020157;0.020020;0.020537;0.020326;0.020239;0.020428;0.020472;0.020755;0.020264;0.020118;0.019967;0.020265;0.020156;0.020391;0.020523;0.020310;0.020009;0.019989;0.020228;0.020259;0.020149;0.020341;0.020655;0.020243;0.020092;0.020183;0.020236;0.019968;0.020258;0.020551;0.020332;0.020059;0.020040;0.020142;0.020169;0.020335;0.020162;0.019316;0.020227;0.020102;0.020231;0.020369;0.020000;0.019993;0.020110;0.019993;0.019683;0.020082;0.020080;0.020203,----,0.545464;0.392430;0.371240;0.308236;0.532147;0.603961;0.431534;0.587327;0.595952;0.438901;0.577596;0.472327;0.512976;0.634628;0.874174;0.468655;0.715439;0.435393;0.654338;0.850398;0.335360;1.000000;0.253527;0.530267;0.399993;0.367196;0.348972;0.416982;0.766010;0.884467;0.476569;0.399497;0.430074;0.448214;0.479282;0.783224;0.379556;0.697673;0.527309;0.527343;0.425704;0.235710;0.467586;0.548880;0.412402;0.278006;0.403194;0.472102;0.464016;0.412000;0.363132;0.000000;0.472637;0.459458;0.432707;0.606164;0.287868;0.400472;0.304993;0.411420;0.367082;0.405462;0.270559;0.455738
c95,s19,0.022957;0.023051;0.022354;0.023070;0.023098;0.023179;0.022581;0.022623;0.022997;0.022935;0.022377;0.023160;0.023228;0.022967;0.022502;0.023117;0.022726;0.023288;0.023176;0.023105;0.022872;0.023248;0.023252;0.022696;0.022817;0.023101;0.023366;0.023347;0.023283;0.022821;0.022358;0.022999;0.022820;0.023064;0.023172;0.023020;0.022674;0.022522;0.022737;0.023448;0.022914;0.023203;0.022801;0.022498;0.022740;0.023042;0.022818;0.023155;0.022939;0.023107;0.022759;0.022815;0.022714;0.022965;0.022842;0.022850;0.023073;0.023160;0.023186;0.022782;0.022869;0.023122;0.022968;0.022756,----,0.590427;0.569939;0.253782;0.580173;0.649266;0.296635;0.282346;0.227268;0.492184;0.517925;0.199953;0.458626;0.568128;0.283457;0.633108;0.571715;0.505899;0.668844;0.726008;0.664475;0.509555;1.000000;0.350660;0.000000;0.550150;0.807559;0.415535;0.457952;0.531588;0.766251;0.308936;0.869192;0.414291;0.570993;0.738976;0.983094;0.432890;0.479256;0.453092;0.967175;0.509704;0.633628;0.501683;0.370439;0.321354;0.727046;0.804738;0.653658;0.717736;0.513803;0.332832;0.758848;0.491722;0.635992;0.632004;0.529827;0.494460;0.621759;0.700812;0.443856;0.688330;0.783445;0.584804;0.383409
c95,s20,0.023637;0.023682;0.023671;0.023506;0.023547;0.023518;0.023329;0.023916;0.023239;0.023648;0.023756;0.023581;0.023557;0.023321;0.023271;0.023636;0.023395;0.023220;0.023689;0.023380;0.022383;0.024045;0.023647;0.023201;0.024092;0.024167;0.023912;0.024021;0.023956;0.024395;0.024113;0.023806;0.024091;0.023969;0.024005;0.023971;0.024172;0.023829;0.023726;0.023755;0.023903;0.023669;0.023810;0.023852;0.023904;0.024072;0.024123;0.023886;0.023853;0.023870;0.023916;0.023932;0.023738;0.023819;0.023995;0.023940;0.023834;0.024077;0.024251;0.023778;0.023992;0.023851;0.023954;0.024008,----,0.555028;0.602483;0.406350;0.443131;0.738204;0.524986;0.532669;0.695108;0.186860;0.716447;0.730231;0.734212;0.603215;0.466519;0.384395;0.393965;0.162905;0.280971;0.537400;0.388122;0.000000;1.000000;0.603233;0.061205;0.949382;0.922394;0.782145;0.575084;0.655810;0.992626;0.848457;0.795320;0.864999;0.848650;0.790265;0.665850;0.794019;0.805129;0.811517;0.534861;0.700091;0.691833;0.586390;0.550943;0.560606;0.690126;0.569738;0.739632;0.654824;0.656409;0.732189;0.690546;0.602968;0.570228;0.624731;0.518907;0.538912;0.568358;0.623147;0.599163;0.662807;0.445454;0.484191;0.800788
c95,s22,0.011040;0.010973;0.011071;0.011040;0.011080;0.011058;0.011090;0.011016;0.010967;0.011050;0.011104;0.011001;0.011085;0.011061;0.011099;0.011033;0.010888;0.011136;0.011032;0.010999;0.010948;0.011242;0.011094;0.011289;0.011370;0.011243;0.011046;0.010908;0.011147;0.010945;0.011306;0.011077;0.011042;0.011573;0.011259;0.011090;0.010990;0.011236;0.011423;0.011514;0.011147;0.011194;0.011208;0.011313;0.011390;0.011501;0.011021;0.010938;0.011255;0.010939;0.011129;0.011339;0.011132;0.011322;0.011071;0.011019;0.011303;0.011486;0.011324;0.011037;0.011133;0.011104;0.011016;0.011069,----,0.434171;0.550953;0.587012;0.682990;0.826503;0.606098;0.801171;0.836776;0.292833;0.791906;0.782391;0.461875;0.592686;0.642074;0.719553;0.828031;0.345891;0.000000;0.724446;0.749827;0.744103;0.864659;0.617833;0.765279;0.756517;0.697056;0.644414;0.422576;0.753215;0.564714;0.696436;0.686152;0.651258;0.897347;0.629972;0.436840;0.573456;0.748417;0.881139;1.000000;0.665514;0.725511;0.720463;0.786110;0.834539;0.897477;0.616863;0.587260;0.719732;0.595931;0.675642;0.769459;0.675981;0.791655;0.718228;0.629997;0.794464;0.831318;0.758157;0.618554;0.647275;0.609200;0.597163;0.591675
c95,s28,0.019348;0.019712;0.019645;0.020102;0.019550;0.019754;0.019603;0.019865;0.019844;0.019471;0.019849;0.019414;0.019793;0.018912;0.020355;0.020038;0.019621;0.019883;0.019337;0.019624;0.020493;0.019262;0.019709;0.019741;0.019695;0.019134;0.019373;0.019183;0.020482;0.019035;0.020349;0.019849;0.018942;0.018718;0.018648;0.018559;0.019515;0.019600;0.019842;0.019773;0.018328;0.019231;0.018336;0.019502;0.019273;0.019017;0.018436;0.019173;0.019168;0.019410;0.018425;0.019440;0.019305;0.019626;0.018943;0.019348;0.019933;0.019632;0.018814;0.018806;0.019387;0.018828;0.019232;0.019075,----,0.410700;0.578840;0.407074;0.592339;0.684074;0.593093;0.525484;0.683849;0.195480;0.790953;0.561041;0.303752;0.654876;0.165354;1.000000;0.691691;0.630503;0.574599;0.816853;0.482855;0.996876;0.526779;0.530419;0.646131;0.656895;0.391835;0.548118;0.267566;0.790606;0.494568;0.909480;0.696995;0.377470;0.204091;0.299790;0.099327;0.666085;0.661659;0.771342;0.777965;0.164125;0.493212;0.087097;0.485848;0.353748;0.237402;0.000000;0.574828;0.283423;0.472697;0.213939;0.548786;0.364306;0.588578;0.360344;0.449069;0.790942;0.833489;0.306133;0.264216;0.496310;0.182668;0.406222;0.214810
c95,s33,0.025788;0.025703;0.026175;0.026033;0.026127;0.025905;0.025788;0.025865;0.025776;0.025348;0.025540;0.025152;0.025971;0.025851;0.025775;0.025833;0.025543;0.025528;0.025857;0.025079;0.025973;0.025751;0.025831;0.025865;0.025481;0.025560;0.026001;0.025769;0.025542;0.025724;0.025761;0.025881;0.026156;0.025985;0.025783;0.025459;0.025813;0.025819;0.025814;0.025060;0.025643;0.025525;0.025517;0.025907;0.025912;0.025895;0.025782;0.025525;0.025824;0.026235;0.025474;0.026443;0.025801;0.025811;0.025817;0.025651;0.025821;0.025987;0.026378;0.025710;0.025521;0.025623;0.025859;0.025432,----,0.528976;0.342891;0.583484;0.641797;0.890928;0.164623;0.256826;0.730860;0.759232;0.407782;0.338463;0.574959;0.738990;0.553026;0.603527;0.004875;0.149055;0.056446;0.298470;0.256265;0.188399;0.876285;0.272141;0.024857;0.271319;0.462546;0.599021;0.546492;0.068484;1.000000;0.807587;0.711447;0.792400;0.625878;0.446284;0.673592;0.658813;0.720600;0.571982;0.225178;0.401498;0.121532;0.367423;0.461000;0.636526;0.716486;0.588644;0.497702;0.494482;0.500135;0.025578;0.744258;0.717860;0.715956;0.290189;0.478286;0.546758;0.230028;0.494222;0.000000;0.441868;0.401458;0.349053;0.075428
c95,s35,0.020490;0.020719;0.020399;0.020311;0.020695;0.020547;0.020144;0.020366;0.020122;0.019995;0.020171;0.020191;0.020451;0.020470;0.020417;0.020048;0.019840;0.020177;0.020013;0.019852;0.020045;0.020403;0.019961;0.020321;0.020238;0.020074;0.020300;0.020044;0.020057;0.020890;0.020840;0.020578;0.020017;0.020255;0.020197;0.020349;0.020764;0.020649;0.020889;0.021235;0.019965;0.020806;0.020443;0.020812;0.021055;0.020785;0.020616;0.020633;0.020599;0.020459;0.020639;0.020499;0.020565;0.020793;0.020718;0.020721;0.020697;0.020796;0.020603;0.021019;0.020309;0.020456;0.021104;0.020777,----,0.406220;0.843588;0.581657;0.685735;0.806707;0.651808;0.401239;0.479027;0.000000;0.353579;0.396499;0.401795;0.559201;0.398668;0.501063;0.397861;0.136939;0.205595;0.737316;0.258827;0.517161;0.670844;0.402524;0.343861;0.527471;0.480863;0.540270;0.668626;0.223305;0.827002;0.886757;0.701447;0.445726;0.544152;0.661016;0.545239;0.608211;0.648749;0.847173;1.000000;0.339361;0.737356;0.483782;0.846881;0.786393;0.954046;0.675938;0.646007;0.690134;0.542640;0.610517;0.575613;0.706910;0.602118;0.726309;0.814157;0.726528;0.703792;0.601924;0.717445;0.628175;0.399886;0.875315;0.699685
c95,s37,0.024864;0.024131;0.024050;0.024768;0.023836;0.023912;0.023762;0.024824;0.024013;0.024250;0.024112;0.024009;0.024208;0.023670;0.024271;0.025097;0.024505;0.024122;0.023753;0.024047;0.024232;0.024261;0.024281;0.024258;0.023829;0.024316;0.024215;0.024478;0.024247;0.024471;0.023955;0.024807;0.024373;0.024260;0.023815;0.024280;0.024105;0.024093;0.024470;0.025288;0.024558;0.024715;0.023728;0.024158;0.024049;0.024185;0.024863;0.024657;0.025237;0.024939;0.025002;0.024777;0.024138;0.024631;0.024300;0.024544;0.024741;0.024641;0.024689;0.024513;0.025289;0.024805;0.024433;0.024968,----,0.626721;0.315031;0.298024;0.540752;0.370607;0.453971;0.132322;0.737399;0.000000;0.543239;0.254811;0.172327;0.424155;0.114773;0.419556;0.524477;0.343995;0.448297;0.280967;0.232354;0.527423;0.563279;0.492470;0.293106;0.342838;0.395543;0.429854;0.725668;0.271080;0.501101;0.384076;0.731450;0.584201;0.577552;0.408593;0.544468;0.336297;0.321795;0.706794;1.000000;0.460726;0.494021;0.085801;0.489915;0.357115;0.436152;0.657098;0.425024;0.732314;0.564519;0.535179;0.492935;0.433561;0.548893;0.425183;0.540881;0.554191;0.524936;0.450934;0.283871;0.551114;0.470627;0.277966;0.429003
c95,s46,0.015237;0.015237;0.015658;0.015007;0.015274;0.015231;0.015237;0.015237;0.015237;0.015102;0.015079;0.015207;0.014642;0.015368;0.015308;0.015237;0.015237;0.015206;0.014973;0.015172;0.015389;0.015096;0.015098;0.015237;0.015237;0.015300;0.015514;0.015583;0.015363;0.014953;0.015769;0.015236;0.015297;0.015266;0.015249;0.015417;0.015289;0.015398;0.014949;0.015236;0.015365;0.015358;0.015339;0.015819;0.015000;0.015105;0.015034;0.015237;0.015237;0.015069;0.015788;0.015119;0.014490;0.015050;0.015338;0.015237;0.015237;0.015237;0.015493;0.015447;0.015329;0.015237;0.015237;0.015237,----,0.436878;0.420584;1.000000;0.181490;0.811895;0.643865;0.478428;0.836737;0.359250;0.000000;0.452376;0.669275;0.237721;0.518000;0.821651;0.507375;0.213867;0.106261;0.234504;0.621630;0.546822;0.307348;0.114724;0.286434;0.642970;0.627686;0.643651;0.581054;0.687923;0.601709;0.835714;0.636341;0.582962;0.449620;0.579732;0.714818;0.630783;0.392537;0.411001;0.495586;0.646374;0.660840;0.652958;0.907190;0.500624;0.546295;0.437445;0.487423;0.594790;0.459969;0.843094;0.491481;0.027159;0.510547;0.580596;0.409051;0.507885;0.521955;0.652309;0.606956;0.603345;0.642303;0.451421;0.425361
