content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
c93,s10,0.020833;0.020712;0.019140;0.020553;0.020304;0.020296;0.020008;0.020118;0.020458;0.019765;0.020020;0.020341;0.020001;0.019620;0.020364;0.020153;0.020042;0.020583;0.019736;0.020511;0.019803;0.019912;0.020474;0.019939;0.020600;0.019961;0.020066;0.020153;0.020293;0.020017;0.020457;0.020349;0.020637;0.019760;0.020434;0.020172;0.019906;0.020056;0.019920;0.020078;0.020378;0.021227;0.019909;0.019716;0.020259;0.019963;0.019911;0.020489;0.020390;0.020322;0.020704;0.020185;0.019684;0.020446;0.020190;0.020860;0.020395;0.020036;0.020311;0.020325;0.020618;0.020271;0.020500;0.020049,----,0.576212;0.660830;0.000000;1.000000;0.468689;0.591888;0.325409;0.545183;0.432546;0.236924;0.362454;0.586284;0.299079;0.145140;0.499686;0.644863;0.272566;0.460357;0.254600;0.334936;0.067979;0.241148;0.469332;0.497606;0.625697;0.299833;0.311941;0.330285;0.296412;0.506514;0.390997;0.342933;0.697627;0.013070;0.391671;0.413178;0.274432;0.243238;0.276982;0.433232;0.512398;0.819602;0.138105;0.078933;0.200135;0.250585;0.315885;0.559101;0.777083;0.600981;0.793033;0.398080;0.193381;0.410798;0.289412;0.928877;0.574023;0.526836;0.403260;0.378065;0.534430;0.703484;0.424931;0.328075
c93,s25,0.019305;0.019712;0.019222;0.019715;0.019809;0.019470;0.019432;0.019586;0.019433;0.020058;0.019500;0.019219;0.019633;0.019333;0.019347;0.019447;0.020003;0.019700;0.019389;0.019583;0.019822;0.019655;0.019432;0.019355;0.019400;0.019576;0.019278;0.020063;0.019672;0.019416;0.019217;0.019486;0.019152;0.019956;0.019493;0.019508;0.019907;0.019170;0.019270;0.019578;0.019535;0.019696;0.019740;0.019766;0.019105;0.019121;0.019454;0.019553;0.019348;0.019351;0.020105;0.019836;0.019180;0.019302;0.019411;0.019209;0.019467;0.019594;0.019503;0.019595;0.019357;0.019414;0.019813;0.019668,----,0.448491;0.696028;0.470527;0.484622;0.855403;0.612879;0.354990;0.420508;0.189191;0.790238;0.830566;0.622295;0.693242;0.345107;0.269812;0.563812;0.615507;0.522660;0.517347;0.697808;0.618774;0.367683;0.515299;0.519409;0.372484;0.425205;0.390602;0.813946;0.731161;0.565124;0.000000;0.504465;0.374662;0.782109;0.702764;0.481434;0.607852;0.213368;0.162723;0.303648;0.765287;0.571216;0.525307;0.603690;0.131370;0.308093;0.490615;0.388813;0.676504;0.201001;0.724623;0.781622;0.656337;0.265668;0.565118;0.455883;0.856181;1.000000;0.805346;0.244998;0.365015;0.642972;0.518901;0.768603
c93,s36,0.012200;0.012261;0.012133;0.012287;0.012204;0.012194;0.012146;0.012182;0.012209;0.012479;0.012138;0.012510;0.012274;0.012219;0.012526;0.012481;0.012195;0.012549;0.012360;0.012286;0.012383;0.012395;0.012502;0.012359;0.012369;0.012409;0.012757;0.012465;0.012568;0.011997;0.012456;0.012440;0.012288;0.012522;0.012381;0.012108;0.012487;0.012507;0.012335;0.012298;0.012370;0.012320;0.012176;0.012457;0.012539;0.012429;0.012543;0.012235;0.012338;0.012503;0.012292;0.012576;0.012239;0.012553;0.012698;0.011954;0.012270;0.012419;0.012517;0.012310;0.012292;0.012105;0.012243;0.012299,----,0.414204;0.435788;0.135316;0.399916;0.365220;0.421779;0.346371;0.428885;0.420960;0.720573;0.493198;0.739829;0.569569;0.213211;0.714801;0.517751;0.400997;0.742948;0.612567;0.469022;0.465422;0.595821;0.694770;0.000000;0.486775;0.537684;0.821737;0.825912;0.525858;0.241594;0.498915;0.256279;0.346433;0.629512;0.614470;0.716053;0.578394;0.877293;0.720363;0.635174;0.287420;0.406228;0.479864;0.714766;0.576008;0.579727;0.789122;0.387378;0.616740;0.422388;0.409891;0.780330;0.632286;0.732799;1.000000;0.199150;0.632312;0.663972;0.610308;0.484080;0.432810;0.570921;0.489695;0.551020
c93,s37,0.026305;0.026454;0.026335;0.027744;0.026681;0.026379;0.026407;0.027109;0.027003;0.026675;0.027144;0.027109;0.026957;0.026877;0.027081;0.027159;0.027067;0.027353;0.026552;0.027623;0.026591;0.026666;0.027069;0.026830;0.026642;0.026696;0.026844;0.027716;0.026955;0.027536;0.026867;0.027345;0.026305;0.026832;0.026065;0.027082;0.026160;0.026716;0.027687;0.027434;0.027158;0.026659;0.026190;0.027218;0.027003;0.027614;0.026921;0.027033;0.027441;0.026575;0.026745;0.027193;0.026471;0.026837;0.026749;0.027027;0.026730;0.026677;0.026787;0.026340;0.027403;0.026668;0.026685;0.027361,----,0.456425;0.422840;0.345987;0.779763;0.399398;0.661264;0.245095;0.879418;0.625626;0.683150;0.795261;0.571431;0.638311;0.617022;0.646338;0.671440;0.840529;0.951270;0.649905;0.689278;0.370625;0.493250;0.809859;0.530145;0.581807;0.592791;0.495667;0.920718;0.406660;0.765660;0.567562;0.611888;0.087675;0.343980;0.184752;0.498751;0.000000;0.239454;0.926257;0.781385;0.498855;0.495103;0.244592;0.646805;0.447291;0.882567;0.426259;0.755169;1.000000;0.437961;0.480977;0.627747;0.100239;0.622384;0.403497;0.669241;0.630518;0.700276;0.564271;0.306925;0.867483;0.704852;0.482124;0.769848
c93,s40,0.026419;0.025620;0.026402;0.025807;0.026387;0.024955;0.026089;0.026569;0.026920;0.027101;0.027166;0.026006;0.027068;0.027834;0.027837;0.026125;0.025144;0.025350;0.026790;0.026792;0.027577;0.026525;0.026605;0.025776;0.026858;0.026577;0.026918;0.026696;0.025927;0.025582;0.025902;0.026655;0.025827;0.026043;0.026459;0.026546;0.026698;0.027073;0.026906;0.025823;0.026027;0.026133;0.026256;0.026323;0.026363;0.026032;0.025583;0.026698;0.026627;0.025344;0.025418;0.025067;0.024507;0.025219;0.025502;0.025379;0.026347;0.026264;0.026420;0.026103;0.025853;0.026109;0.026091;0.026199,----,0.842585;0.507648;0.562657;0.581788;0.640147;0.373921;0.702593;0.831297;0.873694;0.809569;0.990747;0.623904;1.000000;0.952792;0.909018;0.699358;0.441661;0.449699;0.799618;0.531655;0.842736;0.511631;0.693497;0.465263;0.870099;0.663079;0.830790;0.496657;0.294634;0.466525;0.266344;0.631343;0.628536;0.539194;0.561448;0.436225;0.611824;0.791183;0.843024;0.588816;0.623607;0.650637;0.547900;0.575578;0.623199;0.573969;0.450289;0.867212;0.705581;0.430265;0.456626;0.411413;0.000000;0.223842;0.286297;0.610217;0.687437;0.831859;0.587673;0.521697;0.584975;0.646862;0.733322;0.695018
c93,s41,0.017613;0.016631;0.016385;0.016818;0.017034;0.016982;0.016686;0.016840;0.016984;0.016626;0.016817;0.016586;0.016463;0.016430;0.016810;0.016827;0.016369;0.016615;0.016347;0.016357;0.016291;0.016441;0.016689;0.017350;0.016261;0.016256;0.016803;0.016218;0.016570;0.016863;0.017039;0.017241;0.016439;0.016694;0.016915;0.017052;0.016622;0.017064;0.016973;0.017103;0.016796;0.016799;0.016762;0.016475;0.016652;0.017106;0.016935;0.017212;0.017040;0.016550;0.016308;0.016593;0.016696;0.017279;0.017121;0.017073;0.017145;0.017185;0.017089;0.016723;0.016868;0.017420;0.016909;0.017250,----,0.866736;0.439231;0.190197;0.418791;0.605649;0.573018;0.352119;0.763755;0.642992;0.495638;0.432451;0.440716;0.341562;0.282713;0.474000;0.684318;0.327740;0.418907;0.328271;0.090976;0.090068;0.350531;0.482270;0.632807;0.305781;0.200626;0.428073;0.043384;0.231495;0.471769;0.469721;0.677571;0.296449;0.287572;0.399929;0.479273;0.229449;0.542751;0.555207;0.733443;0.390744;0.583021;0.329113;0.163033;0.000000;0.571595;0.535284;0.875417;0.882340;0.467296;0.225391;0.384414;0.216832;0.743816;0.592278;0.773646;0.772949;1.000000;0.719301;0.395744;0.560058;0.768697;0.459347;0.861931
c93,s50,0.020731;0.020628;0.020908;0.020578;0.020504;0.020657;0.020658;0.020531;0.020683;0.021926;0.020408;0.020190;0.020873;0.021103;0.020766;0.020556;0.020299;0.020648;0.020676;0.020178;0.020404;0.020097;0.020556;0.020424;0.020483;0.020436;0.020606;0.021263;0.020951;0.020022;0.020980;0.020440;0.020107;0.020788;0.020897;0.020295;0.020477;0.020848;0.021625;0.020291;0.020395;0.020786;0.021046;0.020936;0.020533;0.020831;0.020998;0.020446;0.020609;0.020601;0.020928;0.020953;0.021065;0.020851;0.020796;0.020718;0.020699;0.020862;0.020702;0.020567;0.021258;0.021018;0.020720;0.020703,----,0.666391;0.347456;0.101535;0.171345;0.722893;0.547892;0.529539;0.685736;0.653990;1.000000;0.456329;0.562429;0.692841;0.586629;0.447646;0.547311;0.426629;0.561332;0.601666;0.304934;0.214068;0.026359;0.573722;0.522493;0.255098;0.515483;0.439023;0.805592;0.581378;0.185303;0.632374;0.169725;0.131792;0.645498;0.588281;0.263911;0.213845;0.584603;0.909184;0.404723;0.000000;0.734433;0.596692;0.500975;0.218625;0.613056;0.545254;0.253428;0.310454;0.439417;0.612539;0.790976;0.604471;0.671298;0.334094;0.599782;0.466169;0.538212;0.359632;0.479854;0.887492;0.834455;0.493981;0.602712
c93,s23,0.014161;0.013731;0.013775;0.013762;0.013561;0.013337;0.013668;0.013660;0.013824;0.013657;0.013825;0.013586;0.013600;0.013208;0.013589;0.013525;0.013782;0.013767;0.013479;0.013881;0.013836;0.013303;0.013553;0.013728;0.013894;0.013803;0.013402;0.013538;0.013737;0.013756;0.013900;0.013744;0.013580;0.014161;0.013661;0.013738;0.013772;0.013758;0.013702;0.013596;0.013310;0.013750;0.013595;0.013465;0.013561;0.013512;0.013460;0.013523;0.013948;0.013753;0.014014;0.013535;0.013499;0.013465;0.013467;0.013632;0.013574;0.014368;0.014023;0.013445;0.013634;0.013670;0.013740;0.013658,----,0.658756;0.429800;0.336234;0.433681;0.496362;0.419291;0.486813;0.489287;0.575895;0.395070;0.785783;0.712201;0.546510;0.077031;0.702334;0.391146;0.397121;0.573190;0.377313;0.511260;0.589029;0.140988;0.441426;0.395784;0.411416;0.544670;0.402737;0.193499;0.323879;0.473225;0.370643;0.200940;0.304026;0.766272;0.454922;0.448018;0.368835;0.603889;0.574808;0.420054;0.269155;0.573617;0.318844;0.324934;0.433901;0.523157;0.234778;0.171910;0.624067;0.500479;0.588995;0.411416;0.125660;0.376640;0.163518;0.415463;0.331183;1.000000;0.584917;0.175264;0.381131;0.220665;0.000000;0.342602
c93,s26,0.020793;0.020758;0.021403;0.021075;0.021198;0.021752;0.020109;0.020698;0.021217;0.021302;0.020800;0.021086;0.021020;0.020777;0.021150;0.020603;0.021061;0.020821;0.021308;0.020667;0.020965;0.020658;0.020838;0.020775;0.020949;0.021373;0.020936;0.020979;0.021126;0.020597;0.021639;0.021054;0.020982;0.019774;0.020118;0.020113;0.020795;0.020207;0.020992;0.021025;0.020860;0.020626;0.020887;0.020386;0.020353;0.020038;0.020107;0.019847;0.019999;0.020488;0.020805;0.020413;0.020877;0.020073;0.020077;0.020609;0.020413;0.020301;0.021004;0.020043;0.019536;0.020675;0.020389;0.020056,----,0.614612;0.400501;0.481027;0.752403;0.765304;0.937754;0.178338;0.457744;0.888236;0.770559;0.739516;0.943074;0.912046;0.390484;0.840978;0.323707;0.874552;0.622851;0.605653;0.530864;0.364223;0.337346;0.753639;0.597539;0.816500;1.000000;0.496447;0.453762;0.790994;0.431815;0.760111;0.394835;0.601023;0.161175;0.000000;0.138385;0.523508;0.259987;0.900692;0.854958;0.673759;0.628137;0.342002;0.253855;0.234397;0.282888;0.180873;0.217629;0.522503;0.355411;0.391601;0.433038;0.609642;0.252301;0.076157;0.948044;0.423157;0.632160;0.574072;0.403367;0.091004;0.727331;0.342955;0.165478
c93,s29,0.029482;0.028994;0.028961;0.029086;0.028659;0.028205;0.029134;0.028874;0.029121;0.028676;0.028969;0.028569;0.028691;0.029321;0.029134;0.029140;0.028816;0.028927;0.028799;0.028497;0.029631;0.028184;0.029250;0.029235;0.029196;0.029097;0.028212;0.028457;0.029007;0.028516;0.028912;0.029412;0.029132;0.027887;0.028053;0.027825;0.027564;0.028648;0.029135;0.028623;0.028436;0.027197;0.027957;0.027394;0.028038;0.028623;0.028592;0.028998;0.027958;0.027419;0.028216;0.027764;0.028841;0.028559;0.028527;0.028913;0.029209;0.028678;0.028157;0.027220;0.028699;0.028322;0.027675;0.028761,----,0.736130;0.549889;0.320107;0.648953;0.632933;0.576364;0.672650;0.701918;0.705347;0.556464;0.467677;0.608656;0.614360;0.519916;0.549219;0.577079;0.626181;0.631187;0.633477;0.537300;1.000000;0.417389;0.818056;0.690922;0.589212;0.616226;0.315963;0.284454;0.713219;0.607945;0.594542;0.633642;0.553525;0.163888;0.149272;0.133769;0.131005;0.551599;0.840834;0.511503;0.440908;0.000000;0.143675;0.148766;0.176180;0.537768;0.492130;0.557272;0.454630;0.105700;0.397922;0.315691;0.465365;0.464192;0.523122;0.799640;0.653325;0.672467;0.284117;0.040870;0.572256;0.495227;0.219634;0.564438
