Style_idx,RSI_mean_raw,RSI_median_raw,RSI_p90_raw,SCAR_mean_raw,SCAR_median_raw,SCAR_p90_raw
1,0.060597,0.060566,0.061780,0.497919,0.495078,0.801070
2,0.060462,0.060436,0.061265,0.525004,0.531975,0.812613
3,0.043217,0.042987,0.044743,0.486428,0.487287,0.754194
4,0.060678,0.060586,0.062103,0.480075,0.476352,0.768573
5,0.060158,0.060148,0.061331,0.515558,0.524652,0.793024
6,0.053697,0.053640,0.054786,0.520529,0.531030,0.795036
7,0.093784,0.093624,0.095410,0.472372,0.462137,0.758837
8,0.055305,0.055317,0.056630,0.538438,0.549057,0.812695
9,0.048540,0.048615,0.050384,0.507158,0.517793,0.798304
10,0.053752,0.053686,0.054615,0.485689,0.480289,0.774225
11,0.055875,0.055841,0.056663,0.519626,0.518847,0.802116
12,0.055765,0.055768,0.056547,0.517504,0.525288,0.799652
13,0.067940,0.067881,0.068971,0.508073,0.507660,0.794273
14,0.049653,0.049652,0.050649,0.536101,0.548445,0.809790
15,0.073838,0.073718,0.075352,0.510218,0.514479,0.798890
16,0.115085,0.115093,0.116724,0.496509,0.492745,0.794920
17,0.053338,0.053429,0.054702,0.533090,0.547391,0.816112
18,0.046146,0.046157,0.047260,0.520153,0.525941,0.784294
19,0.072281,0.072471,0.073419,0.558976,0.579678,0.836086
20,0.055699,0.055380,0.058029,0.457622,0.440608,0.747240
21,0.085381,0.085790,0.087246,0.549559,0.570883,0.816989
22,0.047693,0.047593,0.048991,0.498227,0.500620,0.785373
23,0.066872,0.066967,0.068306,0.530837,0.542954,0.812992
24,0.044362,0.044345,0.045172,0.512836,0.514064,0.794636
25,0.070923,0.070935,0.071808,0.503581,0.507524,0.794162
26,0.051761,0.051759,0.052820,0.540782,0.550376,0.824483
27,0.055728,0.055707,0.056823,0.497146,0.501846,0.775108
28,0.057199,0.057176,0.058527,0.520271,0.521982,0.819670
29,0.052067,0.051894,0.053449,0.515913,0.518201,0.780786
30,0.070924,0.070449,0.073787,0.468568,0.449873,0.797456
31,0.067593,0.067228,0.069513,0.435113,0.418016,0.714657
32,0.041545,0.041557,0.042647,0.521486,0.525863,0.812270
33,0.054259,0.054122,0.055910,0.486704,0.477852,0.791919
34,0.057536,0.057438,0.059084,0.495439,0.494553,0.782877
35,0.046910,0.046815,0.048033,0.535797,0.544855,0.819961
36,0.053334,0.053328,0.054311,0.524278,0.526460,0.796822
37,0.052454,0.052403,0.053827,0.484779,0.482677,0.769849
38,0.090651,0.089579,0.094220,0.320861,0.280818,0.558275
39,0.048621,0.048651,0.049687,0.522492,0.526693,0.809611
40,0.070176,0.070155,0.071905,0.509325,0.511613,0.809397
41,0.059405,0.059385,0.060525,0.521448,0.533518,0.792691
42,0.068882,0.068892,0.070141,0.510776,0.513620,0.804092
43,0.058659,0.058659,0.059592,0.523522,0.529732,0.817599
44,0.089654,0.089608,0.091333,0.514827,0.519179,0.805867
45,0.047078,0.047039,0.048323,0.532899,0.539780,0.823039
46,0.074444,0.074378,0.075769,0.517569,0.517900,0.808159
47,0.064593,0.064477,0.065515,0.504776,0.499380,0.773830
48,0.054840,0.054837,0.055984,0.523305,0.527725,0.808745
49,0.078618,0.078643,0.079846,0.498802,0.497913,0.775464
50,0.058848,0.058823,0.060086,0.524756,0.528723,0.810309
