Content_idx,RSI_mean_raw,RSI_median_raw,RSI_p90_raw,SCAR_mean_raw,SCAR_median_raw,SCAR_p90_raw
1,0.052393,0.052287,0.054549,0.490042,0.480084,0.884827
2,0.072698,0.072594,0.075428,0.505075,0.510151,0.901449
3,0.048230,0.048047,0.050071,0.523218,0.546436,0.901760
4,0.060502,0.060406,0.062568,0.490814,0.481627,0.887090
5,0.047379,0.047181,0.049347,0.495921,0.491841,0.898013
6,0.054413,0.054397,0.056307,0.477598,0.455197,0.882727
7,0.068419,0.068308,0.070721,0.487576,0.475152,0.902148
8,0.061998,0.061915,0.063789,0.494178,0.488356,0.896256
9,0.066671,0.066366,0.069472,0.469873,0.439746,0.883523
10,0.061301,0.061185,0.063317,0.497653,0.495306,0.886144
11,0.050669,0.050687,0.052620,0.503671,0.507342,0.905351
12,0.057513,0.057351,0.059677,0.500561,0.501121,0.895459
13,0.080777,0.080673,0.083214,0.540825,0.581649,0.916711
14,0.066712,0.066438,0.069161,0.486686,0.473372,0.890511
15,0.066441,0.066279,0.069174,0.477745,0.455490,0.886295
16,0.042348,0.042268,0.043793,0.485944,0.471888,0.888610
17,0.093448,0.093404,0.096219,0.510227,0.520453,0.904335
18,0.062416,0.062226,0.064445,0.472418,0.444835,0.883785
19,0.079158,0.078867,0.082211,0.491118,0.482236,0.898040
20,0.051488,0.051260,0.053249,0.487754,0.475508,0.893461
21,0.082852,0.082702,0.086132,0.483191,0.466382,0.893670
22,0.057875,0.057776,0.059560,0.514546,0.529092,0.887287
23,0.052297,0.052211,0.054522,0.503463,0.506927,0.908625
24,0.050600,0.050549,0.052562,0.485690,0.471380,0.891502
25,0.049864,0.049731,0.051545,0.479340,0.458681,0.881914
26,0.058663,0.058422,0.060887,0.482633,0.465266,0.889661
27,0.053827,0.053749,0.055888,0.500598,0.501196,0.891558
29,0.050268,0.050188,0.052127,0.508839,0.517678,0.898334
30,0.046213,0.046100,0.047657,0.527051,0.554103,0.913010
31,0.062838,0.062722,0.065286,0.474446,0.448891,0.880395
32,0.059834,0.059674,0.061900,0.490734,0.481469,0.897549
33,0.056551,0.056448,0.058453,0.529241,0.558481,0.906117
34,0.052185,0.052028,0.054027,0.525947,0.551895,0.909972
35,0.071945,0.071801,0.074528,0.505008,0.510015,0.897326
36,0.058351,0.058186,0.060071,0.538347,0.576695,0.924094
37,0.057230,0.057138,0.059384,0.496367,0.492734,0.900653
38,0.043381,0.043175,0.045278,0.479867,0.459734,0.887460
39,0.071093,0.071016,0.073473,0.496992,0.493985,0.903770
40,0.068060,0.067988,0.070588,0.507260,0.514521,0.898378
41,0.060357,0.060198,0.062534,0.504303,0.508606,0.892084
42,0.074903,0.074763,0.077897,0.523175,0.546351,0.901619
43,0.071235,0.071102,0.073955,0.455912,0.411824,0.870060
44,0.047722,0.047610,0.049536,0.500168,0.500336,0.909880
45,0.052367,0.052224,0.054367,0.475400,0.450801,0.883961
46,0.049422,0.049342,0.051177,0.510611,0.521222,0.900738
47,0.056342,0.056165,0.058306,0.528953,0.557905,0.930215
48,0.063013,0.062889,0.065087,0.502734,0.505468,0.900888
49,0.090435,0.090328,0.093587,0.502117,0.504233,0.897939
50,0.046470,0.046409,0.048221,0.504376,0.508752,0.901498
