Style_idx,RSI_mean_raw,RSI_median_raw,RSI_p90_raw,SCAR_mean_raw,SCAR_median_raw,SCAR_p90_raw
1,0.057443,0.057198,0.059451,0.471511,0.443022,0.868861
2,0.059929,0.059804,0.061296,0.478041,0.456083,0.878262
3,0.043253,0.043256,0.045415,0.502230,0.504460,0.907872
4,0.059981,0.059768,0.062360,0.499020,0.498040,0.903071
5,0.059275,0.059109,0.060818,0.482955,0.465910,0.887022
6,0.054327,0.054371,0.055720,0.512757,0.525515,0.902162
7,0.093030,0.093133,0.095152,0.517422,0.534844,0.911895
8,0.053926,0.053889,0.055556,0.497101,0.494202,0.900162
9,0.049561,0.049783,0.053028,0.504628,0.509257,0.917008
10,0.049975,0.049948,0.051205,0.498655,0.497310,0.898542
11,0.054185,0.054126,0.055088,0.507545,0.515089,0.899362
12,0.055144,0.055008,0.056357,0.481399,0.462798,0.888053
13,0.072454,0.072153,0.074804,0.468225,0.436451,0.872471
14,0.046913,0.046911,0.048384,0.504465,0.508929,0.894462
15,0.071995,0.071732,0.074636,0.468412,0.436824,0.876692
16,0.114462,0.114378,0.116648,0.506078,0.512155,0.899386
17,0.052845,0.052565,0.055078,0.486635,0.473271,0.889792
18,0.047552,0.047436,0.049339,0.531476,0.562952,0.913330
19,0.069220,0.069583,0.070974,0.514689,0.529378,0.908075
20,0.054981,0.054611,0.057893,0.497740,0.495479,0.886369
21,0.077467,0.077628,0.080467,0.509863,0.519726,0.922565
22,0.049619,0.049420,0.051932,0.517069,0.534139,0.910264
23,0.068426,0.068544,0.070697,0.514971,0.529943,0.912326
24,0.042730,0.042644,0.044026,0.513614,0.527228,0.901474
25,0.067834,0.067785,0.069439,0.508362,0.516723,0.912010
26,0.053260,0.053139,0.055550,0.505101,0.510201,0.901450
27,0.052562,0.052556,0.054159,0.511582,0.523164,0.907196
28,0.054017,0.053594,0.057008,0.474935,0.449870,0.877687
29,0.053830,0.053443,0.056941,0.487136,0.474273,0.901124
30,0.065241,0.064965,0.068928,0.497428,0.494856,0.908807
31,0.061836,0.061806,0.063066,0.506926,0.513853,0.894614
32,0.039347,0.039312,0.041054,0.504434,0.508867,0.896084
33,0.054418,0.054024,0.057496,0.492878,0.485756,0.890923
34,0.055524,0.055242,0.058549,0.485001,0.470001,0.887793
35,0.048217,0.048034,0.050528,0.495895,0.491791,0.886360
36,0.051524,0.051535,0.052786,0.492730,0.485460,0.893162
37,0.049552,0.049091,0.051856,0.498373,0.496746,0.892373
38,0.096536,0.094735,0.103659,0.462604,0.425209,0.865936
39,0.048517,0.048542,0.050145,0.507463,0.514925,0.901980
40,0.066418,0.066594,0.070739,0.518827,0.537654,0.916077
41,0.055826,0.055865,0.056913,0.515848,0.531696,0.911586
42,0.068390,0.068253,0.070184,0.481646,0.463293,0.892065
43,0.056300,0.056166,0.058342,0.484293,0.468586,0.879912
44,0.087513,0.087392,0.089366,0.505501,0.511002,0.905058
45,0.044466,0.044116,0.046465,0.496536,0.493072,0.894067
46,0.073363,0.073461,0.074747,0.515771,0.531543,0.904610
47,0.069817,0.069833,0.071607,0.492365,0.484730,0.889468
48,0.052658,0.052677,0.054268,0.511548,0.523096,0.902375
49,0.079710,0.079736,0.082503,0.492707,0.485415,0.889940
50,0.056228,0.056181,0.057859,0.492306,0.484612,0.881184
