Content_idx,RSI_mean_raw,RSI_median_raw,RSI_p90_raw,SCAR_mean_raw,SCAR_median_raw,SCAR_p90_raw
1,0.054562,0.054505,0.056019,0.494906,0.489091,0.772966
2,0.072958,0.072876,0.074483,0.485448,0.480264,0.772660
3,0.050797,0.050741,0.052047,0.522184,0.525578,0.805278
4,0.060502,0.060449,0.061722,0.489208,0.485612,0.773016
5,0.048033,0.048005,0.049147,0.549098,0.569649,0.802633
6,0.054911,0.054834,0.056315,0.511285,0.519816,0.794497
7,0.067009,0.067022,0.068275,0.497867,0.502970,0.783436
8,0.063247,0.063235,0.064456,0.481060,0.472879,0.785518
9,0.066614,0.066518,0.068101,0.503416,0.501372,0.778951
10,0.061985,0.061886,0.063340,0.505044,0.511658,0.773242
11,0.051221,0.051176,0.052436,0.504363,0.507900,0.783014
12,0.058440,0.058317,0.059749,0.483122,0.482417,0.750972
13,0.081831,0.081752,0.083346,0.569100,0.589937,0.805855
14,0.065112,0.065066,0.066408,0.476552,0.470536,0.775774
15,0.066757,0.066681,0.068394,0.558873,0.583929,0.829999
16,0.044552,0.044496,0.045634,0.488695,0.484690,0.777365
17,0.094365,0.094304,0.096052,0.511735,0.515946,0.800845
18,0.062716,0.062673,0.063939,0.501895,0.504041,0.796209
19,0.077672,0.077570,0.079395,0.498231,0.488751,0.797553
20,0.053713,0.053656,0.054920,0.493506,0.491809,0.792310
21,0.082004,0.081971,0.083738,0.514306,0.515689,0.811814
22,0.057321,0.057196,0.058480,0.505774,0.512863,0.784549
23,0.052594,0.052514,0.053963,0.492020,0.489738,0.786404
24,0.052482,0.052416,0.053868,0.480371,0.471746,0.772179
25,0.051013,0.050935,0.052158,0.519020,0.525380,0.808774
26,0.058505,0.058426,0.059765,0.520914,0.526587,0.812886
27,0.054858,0.054775,0.056135,0.491787,0.494204,0.775236
28,0.080602,0.080582,0.082237,0.509353,0.517244,0.786967
29,0.051786,0.051771,0.053049,0.512548,0.513801,0.785927
30,0.048177,0.048130,0.049239,0.496035,0.495688,0.790030
31,0.065076,0.064928,0.066641,0.484862,0.480968,0.787806
32,0.060253,0.060241,0.061489,0.512124,0.512246,0.808120
33,0.058075,0.057992,0.059398,0.550782,0.562088,0.817617
34,0.052680,0.052618,0.053848,0.493088,0.490838,0.767784
35,0.068414,0.068323,0.069793,0.489672,0.484793,0.786350
36,0.058486,0.058438,0.059680,0.544012,0.554305,0.803601
37,0.058014,0.057958,0.059253,0.573347,0.593102,0.833451
38,0.046165,0.046079,0.047592,0.477102,0.474830,0.761652
39,0.073210,0.073216,0.074772,0.510071,0.513332,0.812147
40,0.069334,0.069288,0.070859,0.496308,0.491930,0.788378
41,0.062000,0.061946,0.063351,0.502310,0.506605,0.780471
42,0.075792,0.075730,0.077462,0.518328,0.513604,0.822241
43,0.069862,0.069779,0.071287,0.515942,0.518967,0.807992
44,0.049987,0.049921,0.051262,0.515414,0.520892,0.790016
45,0.051891,0.051824,0.053183,0.487316,0.480278,0.772679
46,0.050275,0.050217,0.051377,0.491896,0.487404,0.775642
47,0.057015,0.056942,0.058139,0.538916,0.544130,0.830984
48,0.063079,0.062962,0.064390,0.496510,0.497315,0.771072
49,0.091035,0.090969,0.092838,0.472567,0.466182,0.767057
50,0.049835,0.049784,0.051124,0.495434,0.496325,0.787113
