content_idx,style_idx,RSI_vals,----,SCAR_vals_normalized
c49,s1,0.008663;0.008540;0.009121;0.008531;0.009462;0.009400;0.008775;0.008381;0.010684;0.009348;0.009057;0.008826;0.008990;0.009485;0.008727;0.008796,----,0.000000;0.271046;0.453840;0.276802;0.641995;0.559106;0.330108;0.374774;1.000000;0.546665;0.497030;0.466630;0.325264;0.370510;0.229297;0.112871
c49,s10,0.005226;0.004285;0.004946;0.005037;0.004565;0.004177;0.004411;0.005170;0.005139;0.004291;0.004635;0.004448;0.004821;0.004448;0.004845;0.004553,----,0.572602;0.000000;0.709278;0.820654;0.831483;0.216031;0.468625;0.932659;1.000000;0.471705;0.660061;0.803425;0.787132;0.160384;0.411164;0.527775
c49,s11,0.003442;0.003404;0.003342;0.003479;0.003780;0.003460;0.003857;0.003560;0.003447;0.003554;0.003545;0.003494;0.003700;0.003609;0.003393;0.003227,----,0.000000;0.036471;0.222213;0.805076;0.886898;0.479270;1.000000;0.877714;0.950554;0.622729;0.359425;0.772754;0.565107;0.382392;0.520500;0.063912
c49,s12,0.008615;0.008298;0.008659;0.008856;0.008632;0.008686;0.008681;0.008509;0.008678;0.008494;0.008276;0.008451;0.008632;0.008217;0.008968;0.008682,----,0.495958;0.539444;0.574256;0.799758;0.745213;0.581276;0.659258;0.626179;1.000000;0.347631;0.000000;0.745001;0.914742;0.546698;0.869772;0.837881
c49,s13,0.008803;0.008851;0.008412;0.008667;0.008611;0.008670;0.008389;0.008638;0.008800;0.009094;0.008467;0.009020;0.008927;0.009951;0.009333;0.009158,----,0.000000;0.303993;0.505719;0.420359;0.481505;0.508467;0.437662;0.438787;0.758062;0.633222;0.235936;0.767128;0.390165;1.000000;0.824245;0.596505
c49,s14,0.005015;0.005185;0.005271;0.005262;0.004992;0.005358;0.005134;0.005387;0.005293;0.005232;0.005157;0.005081;0.005242;0.005882;0.005414;0.005030,----,0.000000;0.224903;0.586159;0.743112;0.420148;0.563133;0.358515;0.689877;0.923063;0.358745;0.234707;0.472031;0.659647;1.000000;0.545270;0.304285
c49,s15,0.008266;0.007990;0.007931;0.007596;0.008686;0.007460;0.008008;0.008081;0.008573;0.007985;0.008234;0.008050;0.007846;0.008030;0.008034;0.007637,----,0.572047;0.622632;0.620218;0.401454;1.000000;0.485113;0.871241;0.821983;0.868915;0.761396;0.800750;0.760225;0.385843;0.115447;0.482271;0.000000
c49,s16,0.004749;0.004527;0.004474;0.004475;0.004361;0.004419;0.004564;0.005239;0.004649;0.005449;0.004906;0.004661;0.004679;0.004830;0.004457;0.004505,----,0.000000;0.226457;0.369172;0.788780;0.386332;0.456594;0.467082;1.000000;0.848961;0.811507;0.358404;0.838716;0.816353;0.891997;0.414947;0.689388
c49,s17,0.004590;0.004645;0.004648;0.004553;0.004669;0.004663;0.004519;0.004727;0.004711;0.004988;0.004757;0.005666;0.004553;0.004487;0.004429;0.004820,----,0.260636;0.478590;0.503019;0.583877;0.701888;0.511400;0.648197;0.615737;0.394693;0.230963;0.000000;1.000000;0.500699;0.575033;0.492653;0.645385
c49,s18,0.005263;0.004893;0.004911;0.005178;0.005060;0.005312;0.005775;0.004969;0.005271;0.005862;0.005517;0.005154;0.005348;0.005289;0.006616;0.006645,----,0.029608;0.004943;0.000000;0.146216;0.188935;0.281724;0.510594;0.207248;0.666440;0.483476;0.511243;0.552382;0.289912;0.378856;0.700678;1.000000
c49,s19,0.004230;0.004122;0.003999;0.004257;0.004554;0.003999;0.004189;0.004169;0.004414;0.004253;0.004313;0.004360;0.004773;0.004119;0.004290;0.004484,----,0.043800;0.173295;0.146249;0.427475;0.469181;0.248374;0.092076;0.290163;0.761165;0.084334;0.000000;0.556489;1.000000;0.483703;0.730065;0.955653
c49,s2,0.005099;0.004757;0.004997;0.004861;0.004889;0.004943;0.004942;0.004775;0.004888;0.004691;0.004894;0.004736;0.004975;0.004895;0.005012;0.004991,----,0.402022;0.209591;0.451920;0.614111;0.512735;1.000000;0.747739;0.832777;0.338126;0.197938;0.283448;0.842703;0.250000;0.030936;0.000000;0.143561
c49,s20,0.003650;0.004132;0.003920;0.004088;0.003364;0.003695;0.002941;0.003914;0.002700;0.003033;0.003625;0.006044;0.003154;0.003151;0.003060;0.003008,----,0.257825;0.204365;0.297494;0.483173;0.339852;0.353641;0.183049;0.492158;0.107155;0.080274;0.289450;1.000000;0.235515;0.110809;0.000000;0.158091
c49,s21,0.003799;0.004296;0.003873;0.003570;0.004611;0.004490;0.003985;0.004323;0.003908;0.003901;0.003251;0.004449;0.003865;0.003499;0.003417;0.004160,----,0.236958;0.592999;0.434749;0.283903;0.751369;0.705034;0.787372;0.899770;0.550871;0.655380;0.065091;1.000000;0.259576;0.000000;0.040070;0.488348
c49,s22,0.005547;0.004835;0.004818;0.004808;0.005616;0.004756;0.004746;0.004785;0.007728;0.005308;0.005231;0.005917;0.005276;0.005152;0.005104;0.004852,----,0.118632;0.070173;0.160500;0.228784;0.509699;0.054012;0.132066;0.203957;1.000000;0.300859;0.430747;0.660528;0.267948;0.099753;0.000000;0.153712
c49,s23,0.004550;0.004710;0.004872;0.004496;0.004765;0.004792;0.004699;0.005014;0.005309;0.005087;0.005296;0.005646;0.005136;0.005045;0.004934;0.004665,----,0.000000;0.211485;0.186475;0.353378;0.331212;0.275391;0.247353;0.779002;0.900749;0.266415;0.460458;1.000000;0.322719;0.266828;0.386545;0.289563
c49,s24,0.003559;0.003740;0.003771;0.003828;0.004663;0.003914;0.004133;0.003620;0.003901;0.003986;0.003779;0.003970;0.003654;0.003905;0.003666;0.003620,----,0.000000;0.167638;0.502020;0.453188;1.000000;0.637933;0.879708;0.374661;0.863916;0.804234;0.251701;0.973407;0.353196;0.186044;0.249917;0.117630
c49,s25,0.003070;0.002751;0.002882;0.002776;0.002734;0.002858;0.003021;0.002762;0.002753;0.002542;0.003004;0.002767;0.002919;0.002867;0.002718;0.002670,----,0.750621;0.115518;0.633797;0.371447;0.355952;0.713818;1.000000;0.031330;0.661323;0.000000;0.799922;0.874862;0.596401;0.290538;0.717704;0.455929
c49,s26,0.006552;0.006292;0.006783;0.005991;0.006574;0.006111;0.006238;0.006476;0.006340;0.005906;0.006168;0.006446;0.006094;0.006415;0.006373;0.006116,----,0.597193;0.782977;0.682716;0.508134;1.000000;0.513033;0.536408;0.827266;0.717675;0.295304;0.000000;0.803606;0.662909;0.945463;0.928581;0.501595
c49,s27,0.002896;0.002819;0.002773;0.002775;0.003025;0.002913;0.003081;0.002732;0.003152;0.002980;0.002900;0.003012;0.002770;0.002525;0.002743;0.002834,----,0.143756;0.261566;0.458386;0.540544;0.539600;0.446285;0.502417;0.517033;1.000000;0.619436;0.408299;0.824043;0.335293;0.000000;0.444964;0.389046
c49,s28,0.004720;0.004778;0.004061;0.004816;0.003990;0.004484;0.004329;0.005067;0.005006;0.004994;0.005182;0.004182;0.004728;0.005445;0.005604;0.005183,----,0.143830;0.422577;0.000000;0.478994;0.133128;0.351123;0.472143;0.707743;0.755433;0.674948;0.704285;0.435099;0.469081;0.628949;1.000000;0.785333
c49,s29,0.004525;0.004464;0.004838;0.005056;0.004536;0.004565;0.004878;0.004745;0.004557;0.005533;0.004622;0.004580;0.005237;0.005479;0.004796;0.005206,----,0.000000;0.304675;0.744213;0.855345;0.600749;0.403254;0.615895;0.760348;0.738000;1.000000;0.116020;0.687912;0.488556;0.677274;0.292666;0.791660
c49,s3,0.004796;0.005083;0.004619;0.004683;0.004764;0.007672;0.005255;0.004695;0.005634;0.005337;0.004797;0.004890;0.005025;0.005324;0.004986;0.005129,----,0.000000;0.282284;0.313588;0.321358;0.401740;1.000000;0.479752;0.424382;0.698107;0.290946;0.317302;0.484108;0.486306;0.573264;0.365227;0.485325
c49,s30,0.004909;0.004756;0.004962;0.005076;0.004088;0.005108;0.005031;0.005777;0.004089;0.005215;0.005467;0.004741;0.004774;0.004612;0.005028;0.004612,----,0.249291;0.308310;0.250567;0.523644;0.000000;0.392021;0.607997;1.000000;0.085966;0.495453;0.411828;0.636745;0.325771;0.083290;0.481011;0.216161
c49,s31,0.004127;0.004364;0.004265;0.004067;0.004086;0.004786;0.004470;0.004163;0.004051;0.004058;0.004291;0.003982;0.004130;0.004343;0.004032;0.003971,----,0.187140;0.190382;0.385293;0.641427;0.640716;1.000000;0.674127;0.620489;0.884518;0.679034;0.566552;0.695566;0.412055;0.264672;0.000000;0.187873
c49,s32,0.005052;0.004852;0.005101;0.004221;0.004779;0.004805;0.005059;0.004259;0.004509;0.004955;0.004532;0.004564;0.004145;0.004768;0.004962;0.004606,----,0.524732;0.482926;1.000000;0.433368;0.577205;0.579684;0.588419;0.320502;0.579774;0.674022;0.212683;0.596599;0.000000;0.493585;0.604591;0.521562
c49,s33,0.004316;0.004349;0.004296;0.004330;0.004163;0.004143;0.004396;0.004322;0.003937;0.004223;0.004115;0.004247;0.004011;0.004338;0.005483;0.004914,----,0.000000;0.055475;0.199156;0.478061;0.225607;0.041966;0.197853;0.348306;0.404337;0.093316;0.135343;0.483589;0.320366;0.435740;1.000000;0.874491
c49,s34,0.003459;0.003826;0.003597;0.003309;0.003450;0.003949;0.003491;0.003646;0.003109;0.003461;0.003145;0.003379;0.003236;0.003640;0.003885;0.003337,----,0.139840;0.872747;0.709084;0.490921;0.378048;1.000000;0.784904;0.776053;0.532526;0.561266;0.000000;0.683083;0.482414;0.460054;0.815955;0.189838
c49,s35,0.008615;0.008510;0.009163;0.009040;0.008904;0.008402;0.008520;0.009489;0.008888;0.008663;0.008647;0.008075;0.008639;0.008162;0.008334;0.008636,----,0.000000;0.181053;0.391623;0.549469;0.802831;0.487126;0.490182;1.000000;0.840512;0.403492;0.240368;0.405863;0.309734;0.129186;0.240668;0.392106
